artwork_citi_id,artwork_title,image_netx_id,image_netx_uuid,is_public_domain
181,"Amphora (Storage Jar)",111938,d8fab7c6-8cc9-1c02-18db-0f198775ccc9,1
64818,"Stacks of Wheat (End of Summer)",261303,a38e2828-ec6f-ece1-a30f-70243449197b,1
4534,"Refugee Camp, Ruins in Background, San Francisco Earthquake and Fire",349948,28be716d-dce5-14ee-206a-bf913b2995f3,
191,Mug,74896,e47ce711-82da-5bfa-21e6-37b65b7170df,1
4541,"Ruins of Church Looking North-East or East; Yerba Buena Island in far Right Distance) San Francisco Earthquake and Fire",351951,865dc7c2-a72b-46af-1852-738f45a1cc2e,
11106,"Bowl of Fruit",311337,632a37ca-e571-efb2-f52a-14b5e5e11fa1,
5668,"The Boat Swing",331138,2c34ada1-3966-542f-36fc-19696bdb3f74,
56682,"The Rock",408055,2843f22e-8ef1-2cd5-b53e-6712cd664e9a,
862,"Portrait of an Artist",413205,c95d58bf-fe9e-e5bb-2c71-ab8bad984759,1
72,"The Bull",302853,ded2fc0d-564a-670a-178e-5acc0af5d823,1
6160,Globes,318731,791d6140-42f8-4712-055d-98fc8f7e940c,
30,"The Battle around the Shield and Lance",296695,d11c0a27-95f3-92fd-049b-37003e3cdf5a,1
87479,"The Assumption of the Virgin",244049,47fd1564-93f5-f30b-7786-013421133b4a,1
463,"The Petitions [right part]",179481,39921b2d-433d-07af-4b4a-75519d078d53,1
161,"Skyphos (Drinking Cup)",78212,0707a679-6b62-68d9-f2bd-ee74e0abeaf3,1
40,Andromeda,302596,3a1b15fe-896a-c54c-9e70-c9373262564d,1
111060,"Daniel-Henry Kahnweiler",404774,aebda29e-16b8-4393-6edc-805cdb6ba459,
49,"L'Auberge du soleil levant",291234,c5f616d8-3721-cc35-b858-3057a1f1b988,1
11723,"Woman at Her Toilette",383542,78c80988-6524-cec7-c661-a4c0a706d06f,1
4540,"Holy Emissary, from Yiddish Motifs",280673,5d3e12e4-bdf9-2dd6-6c6b-d3e1b7920edd,
24306,"Blue and Green Music",428680,702580d8-451e-0b0c-bcc1-bac62e5f6631,
68,"Saint John the Evangelist",292203,e4387d3c-49db-6bc3-9e3d-4ec59ad147f8,1
135,"Jar with Tubular Handles, Peonies, “Endless Knot,” Pendant Balls, and Pendant Lozenges",387183,abf4b078-b26b-e69c-d689-8aab2d5fa075,1
102234,"American Collectors (Fred and Marcia Weisman)",406188,f95a0a70-90c5-2806-2a66-68f27f8c0735,
8624,"Portrait of Pablo Picasso",405825,4f7ccf9f-a8ce-2bd8-2d15-a38b2e6caa7a,
116,"Gaspar Charrier, King's Secretary",309569,e4e6192b-0089-561c-267d-01161a19a51b,1
91,"Saint William of Maleval",289834,f3afcea8-97c6-fa73-50d9-bdb29687b57b,1
147003,"Woman Descending the Staircase (Frau die Treppe herabgehend)",406628,e7f4caac-6a16-e332-9a51-34f986d4b451,
90048,"Distant View of Niagara Falls",388497,18092196-50ae-3ff1-9205-1b3110e966c3,1
166,"Amphora (Storage Jar)",362162,7605118c-b634-cd1f-2c92-b1406ffb1071,1
160,"Pyxis (Container for Personal Objects)",117387,e0db998b-5586-aa1f-e2cd-913904656247,1
4535,"Maxwell Street, Chicago, from Yiddish Motifs",280635,75729c13-88fd-dfea-87cf-513078794aa2,
46327,"Black Cross, New Mexico",408544,86729761-235c-c900-5c07-2d0bdbe38947,
679,"Bust of Heraclitus",408541,60382a06-5cb8-7333-2f9b-f119d064e084,
36,"Saint Jerome",316297,58bb7f8f-fb90-96f8-c638-6ed226d8ec14,1
5357,"The Red Armchair",406396,c617e2f0-d5fe-0772-390e-6d8c83895815,
32,"St. Jerome Praying",292358,6a00f326-59fe-a2bd-91ee-4570faca2ff6,1
45401,"A31: Tennessee Entrance Hall, 1835",365956,90f61801-3f85-4e55-8f3c-66d5605c6091,1
45363,"A18: Shaker Living Room, c. 1800",366123,3e42700c-92e2-aef4-89f5-021d7c40eb4f,1
182,"Kantharos (Drinking Cup)",388167,90bc1535-b488-3c52-886f-d0cc703c7778,1
87088,"Water Lily Pond",10570,8534685d-1102-e1e3-e194-94f6e925e8b0,1
77,"Jan de Wael",227284,233f9603-eb05-64b9-1ed4-0796dd87b4b6,1
79307,"Bathers by a River",382354,419ddce3-c90b-3d0c-43b3-73683a87bf98,
10927,"Saint Benedict Presenting his Rule to Benedictine and Cistercian Monks in a Historiated Initial ""O"" from a Choirbook",295303,54f0b704-7108-5b91-1d0f-585758267fb4,1
14698,"Decorated Initial ""G"" in Pink with Curling Leaves from a Manuscript",295663,86296102-d04c-8413-34e0-36d96668c0dd,1
14598,"The Beach at Sainte-Adresse",261528,95be2572-b53d-8e7b-abc9-10eb48d4fa5d,1
898,"Unfinished Study of Sheep",423894,e204d686-0e19-c10c-cf72-1000aae5be4a,1
8390,"Altarpiece with the Beautiful Virgin of Regensburg and Saints Christopher, Mary Magdalen, Florian and Catherine Standing in Niches, with God the Father Above",126523,0c3c40e4-0be1-33a0-791c-17d57df56090,1
74,"Three Oriental Figures (Jacob and Laban?)",237139,5a1ce126-9ffd-36d2-21f1-21c667c4241c,1
83905,"That Which I Should Have Done I Did Not Do (The Door)",246669,0ecc7b1a-70b3-7ac6-1a46-3401d0963aa6,
155,"Mastoid (Drinking Cup)",114577,adef82ca-d94a-c247-1812-07916906dab8,1
4373,"Allegory of Envy",273739,a1aa06ff-08e5-1feb-35e9-40d2beac8a06,1
185184,"Venus de Milo with Drawers",385538,7a388a93-60bf-2ee2-7170-d28d2100378f,
80084,"The Crucifixion",215348,9920a4f9-09f9-86f4-b06d-b0af0590baac,1
25865,"The Herring Net",406185,5dca7347-c6dc-24dd-d073-d705b9cdc575,1
38,"Portrait of Jacques Nicolas Colbert, Archbishop of Rouen",319160,8cb1f867-9b6e-c065-f9fd-27273212c050,1
102611,"Veranda Post (Opo Ogoga)",248002,4dd78841-4237-9e49-76ec-136fbfa0b0a7,
154235,"The Girl by the Window",234761,d7df2633-3b40-f570-c906-211503a37cde,1
9503,"Champs de Mars: The Red Tower",384024,8f5f8f8f-8765-b04e-8ffa-f4379d9511f5,
134,"Lacquer Tea Bowl 乾隆御制雕漆盏",216417,a6b21bf6-aa51-1b2f-6e2e-be09e3e126ba,1
14690,Fragment,234070,b4ccdf0f-8b1b-2969-e447-5402cbe56985,1
109275,"Mother and Child",408907,64734461-887d-80b9-8489-e38cb05ac01d,
1841,"Fragment (Border)",216204,594987cd-fea0-dc02-97c6-9ca20aa73b79,1
795,Kesa,221046,2fa88251-065a-8c94-d918-63bfd5c866c0,1
4368,"Mitsuke: Ferries Crossing the Tenryu River (Mitsuke, Tenryugawa funawatashi), from the series ""Fifty-three Stations of the Tokaido (Tokaido gojusan tsugi),"" also known as the Tokaido with Poem (Kyoka iri Tokaido)",202796,2920ee93-7e74-393e-c270-d58847eb9af7,1
45418,"A37: California Hallway, c. 1940",366270,b5bc6e12-d0ee-560f-a295-4d27d15f1203,
16487,"The Bay of Marseille, Seen from L'Estaque",383675,06e9fc46-50b8-4b7c-0f6f-d15b0f228f05,1
59847,"Cupid Chastised",383344,0f951635-312c-0829-451b-553f461c5518,1
138,"Flower Girl in Holland",400377,e72305c9-1a1c-8a36-7450-582619366338,1
186545,"Woman in Tub",384758,7adbb869-6195-75c8-14da-c06a9ccd3700,
18654,"Panther Springing out of a Tree",328651,a1388958-d4c4-9993-23d8-ef96988631a4,
4376,"The Nativity and the Adoration of the Shepherds",271190,9a8fe2a7-7db6-7dde-9e02-d759062d66fd,1
869,"The Watermill with the Great Red Roof",259449,237c25a2-6051-a8e7-1610-a01938d4deab,1
1587,Panel,177517,74edc8c0-356c-69bf-79fe-19ec42cab37d,1
22935,"Beauty Under an Umbrella in the Snow",194714,dadabea0-c07e-b5b7-f39e-f877d31bb1b4,1
1875,Fragment,420674,aea1a4b6-930e-d262-6ec1-128875e93ed1,1
93811,"Into the World There Came a Soul Called Ida",244496,2d43ebe4-89aa-ae2d-6fd6-085bb6b77ee0,
67958,"Identical Twins, Roselle, N.J.",408439,3c829820-a768-88d4-e18a-9faeb677a681,
1895,Panel,367526,f17aa6ce-bda2-53b2-1be7-07fed381715a,1
183,"Kantharos (Drinking Cup)",388682,bde56de2-6202-62ab-dd2b-1018148ba349,1
129884,"Starry Night and the Astronauts",9518,e966799b-97ee-1cc6-bd2f-a94b4b8bb8f9,
7012,"Head of Child",129849,84b583a8-9e86-15d5-ca02-17d8d3e796a0,1
70125,"The Key",365992,524206a7-fb35-70d9-4b37-a0b7ac563be6,
24687,"Yellow Hickory Leaves with Daisy",388934,b3688c8c-06f2-2a35-56bb-19de1a05344e,
61603,"Ballet at the Paris Opéra",365130,cb34b0a8-bc51-d063-aab1-47c7debf3a7b,1
156538,"Chicago Stock Exchange Trading Room: Reconstruction at the Art Institute of Chicago",370305,47b28b55-ced6-502d-f111-fbe0033f8dc8,1
2102,"The Elephant, from The Berain Grotesques Series",174092,d0042a79-ccf5-6442-f237-8b39152e153a,1
2886,Untitled,288592,ef5e5f48-a5a4-af66-114e-17b34773911d,
239,"Bowl with Bold Black-on-White Diamond and Zizgag Motifs",418718,ebb60021-fb7c-907a-b6ec-7cae94d3f555,1
33,"The Marriage of the Virgin",310137,4e98f25b-3a8a-3363-497c-b5a53941687f,1
6581,"Plate from the Duke of Clarence Service",416433,b03497a2-2556-58b1-c107-54de7bdaf25f,1
10981,"Fruits and Stringed Instrument",365813,509e3a6c-a944-7424-7b42-9786b096a0a6,
1584,"17 Fragments",174408,7aa409f7-ba09-b6a7-352a-09ac5fb2923f,1
27943,"Mahana no atua (Day of the God)",415744,a4bef587-48a4-d186-813d-f297441b1ab3,1
21727,Thanksgiving,409231,d388928f-3222-b48c-1cbb-7afa917de928,
21023,"Buddha Shakyamuni Seated in Meditation (Dhyanamudra)",248930,0675f9a9-1a7b-c90a-3bb6-7f7be2afb678,1
146906,"The Annunciation",362465,512baa0a-e1e5-f745-f6ea-f603f55446c6,
81558,"Acrobats at the Cirque Fernando (Francisca and Angelina Wartenberg)",400937,321c45f5-22a3-84a2-44cc-cf66642d4cf2,1
61600,"Statue of the Aphrodite of Knidos",405966,aee665f2-bb63-2a25-832e-260b73c278a8,1
14586,"The Poet's Garden",225931,9ea77636-76e9-9031-6b92-ff34512d7cbc,1
